Time,"Global Horizontal Irradiance, W/m2",Outdoor air temp,"Mean air temperature, degC, zone 1","Relative humidity, %, zone 1","CO2, ppm (vol), zone 1","Local heating units, W, zone 1","FDD, zone 1","Mean air temperature, degC, zone 8","Relative humidity, %, zone 8","CO2, ppm (vol), zone 8","Local heating units, W, zone 8","FDD, zone 8",Ideal heaters and other local u
2023-06-21 12:00:00,498.91666666666674,24.436666666666667,0.932605543022881,0.4379,672.18,0.0,0,0.9380035449564936,0.42614,565.88,0.0,0,0.0012588574567426532
2023-06-21 13:00:00,584.83,24.558333333333326,0.9352239767966484,0.44131,645.23,0.0,0,0.941669352239768,0.424,541.69,0.0,0,0.001298029387530898
2023-06-21 14:00:00,500.9533333333331,24.60333333333333,0.9418707702223654,0.44485,655.22,0.0,0,0.9502497582984207,0.42752,556.8,0.0,0,0.0011695962647624279
2023-06-21 15:00:00,360.6316666666667,23.481666666666662,0.9428375765388334,0.44414,629.05,0.0,0,0.9587898807605542,0.42665,570.33,0.0,0,0.0009137942872837133
2023-06-21 16:00:00,238.76166666666666,21.83500000000001,0.9395746052207541,0.43399,571.03,0.0,0,0.969626168224299,0.41536,591.87,0.0,0,0.0008984482285086515
2023-06-21 17:00:00,168.7055,20.781666666666663,0.9098050273928456,0.43521,567.13,0.0,0,0.9440058008378988,0.41424,572.9,0.0,0,0.0022712853611645155
2023-06-21 18:00:00,83.0715,19.869999999999983,0.875966806316468,0.40876,421.07,0.0,0,0.9102884305510796,0.38937,428.7,0.0,0,0.004376201592968964
2023-06-21 19:00:00,19.707366666666655,19.23166666666666,0.8689977441185949,0.39447,403.87,0.0,0,0.8981630679987108,0.37763,405.27,0.0,0,0.017711480362537762
2023-06-21 20:00:00,-2.0160595000000003,18.249999999999996,0.8633580406058652,0.38986,400.56,0.0,0,0.8872864969384466,0.376,400.76,0.0,0,0.02745433946717935
2023-06-21 21:00:00,-2.615283333333333,17.42333333333331,0.8579600386722526,0.39152,400.07,0.0,0,0.8788269416693522,0.3793,400.09,0.0,0,0.03696443284811865
2023-06-21 22:00:00,-2.6212666666666657,17.04833333333332,0.8532065742829519,0.39686,400.02,0.0,0,0.8723009990331936,0.38552,400.02,0.0,0,0.07304312002197198
2023-06-21 23:00:00,-2.654116666666667,16.496666666666652,0.8489365130518853,0.40695,400.0,0.0,0,0.866822429906542,0.39602,400.0,0.0,0,0.12122013183191431
2023-06-22 00:00:00,-2.5723499999999992,16.121666666666666,0.8454721237512084,0.42085,400.0,0.007812,0,0.8620286819207219,0.41037,400.0,0.0,0,0.17248352101071135
2023-06-22 01:00:00,-2.288083333333334,15.70000000000001,0.8456332581372865,0.42838,400.0,0.042255499999999994,0,0.8575572027070576,0.42067,400.0,0.0,0,0.19402979950563032
2023-06-22 02:00:00,5.402779466666668,15.206666666666676,0.8456735417338059,0.42846,400.0,0.07012,0,0.8532065742829519,0.42356,400.0,0.0,0,0.2119575666025817
2023-06-22 03:00:00,66.60050000000003,15.334999999999997,0.8457138253303255,0.41992,400.0,0.093815,0,0.8491782146310022,0.41771,400.0,0.0,0,0.23970406481735787
2023-06-22 04:00:00,112.15516666666669,16.18999999999999,0.8477682887528198,0.41612,400.0,0.055994999999999996,0,0.8494199162101191,0.41505,400.01,0.0,0,0.2091836034056578
